batchsize,depth,entangler_operation,have_less_rotations,input_activation_function,is_data_encoding_hardware_efficient,learning_rate,map_type,output_circuit,use_reuploading,dataset,task_id,val_binary_accuracy,val_auc
16,1,cz,True,tanh,True,0.29923797254084644,ring,mZ,False,phoneme,9952,0.6913555264472961,0.6107688009738922
16,1,cz,True,tanh,True,0.47432167603912156,ring,mZ,False,breast-w,15,0.8511387050151825,0.9172816336154938
16,1,sqiswap,False,linear,False,0.00016953070018354028,full,mZ,False,breast-w,15,0.6552174091339111,0.8473932087421417
16,1,sqiswap,False,linear,False,0.000652067358412088,full,mZ,False,breast-w,15,0.658074551820755,0.8495107769966126
16,1,sqiswap,False,linear,False,0.0010276767482343195,ring,mZ,False,wilt,146820,0.9454434454441071,0.5247865319252014
16,1,sqiswap,False,linear,False,0.0013066780545077986,pairs,2Z,False,phoneme,9952,0.7374289691448211,0.7479234993457794
16,1,sqiswap,False,linear,False,0.0025902383209301626,ring,mZ,True,banknote-authentication,10093,0.7310113191604615,0.7999163806438446
16,1,sqiswap,False,linear,False,0.0026841959099669238,ring,mZ,True,banknote-authentication,10093,0.7004760384559632,0.7814846992492676
16,1,sqiswap,False,linear,False,0.003185704372647165,ring,2Z,False,blood-transfusion-service-center,10101,0.7646846771240234,0.629279899597168
16,1,sqiswap,False,linear,False,0.003888522258511399,full,2Z,True,wilt,146820,0.9289093673229217,0.7693486213684082
16,1,sqiswap,False,linear,False,0.004342549229301908,ring,mZ,True,banknote-authentication,10093,0.7084999442100525,0.7826755285263062
16,1,sqiswap,False,linear,False,0.011257741355081275,ring,mZ,True,ilpd,9971,0.7135593175888062,0.5681492239236832
16,1,sqiswap,False,linear,False,0.038547306292332106,ring,mZ,True,phoneme,9952,0.7044752538204193,0.6155080795288086
16,1,sqiswap,False,linear,False,0.04331039160763839,ring,2Z,True,breast-w,15,0.8040786802768707,0.922223961353302
16,1,sqiswap,False,linear,False,0.05055091580099359,full,2Z,True,breast-w,15,0.7824637711048126,0.9579756736755372
16,1,sqiswap,False,linear,False,0.10607092405471488,full,mZ,False,breast-w,15,0.7425051808357239,0.8087441682815552
16,1,sqiswap,False,linear,False,0.15296211707232843,full,2Z,True,banknote-authentication,10093,0.6741246104240417,0.7413519740104675
16,1,sqiswap,False,linear,False,0.3768859612353088,full,2Z,False,banknote-authentication,10093,0.5889188587665558,0.6196120291948318
16,1,sqiswap,False,linear,False,0.4667052198876034,ring,mZ,False,banknote-authentication,10093,0.5845816135406494,0.641042846441269
16,1,sqiswap,False,linear,True,0.0003830520474177707,pairs,2Z,True,banknote-authentication,10093,0.842621386051178,0.9330447375774383
16,1,sqiswap,False,linear,True,0.0013681480636842773,full,mZ,True,ilpd,9971,0.7135593116283416,0.5765011310577393
16,1,sqiswap,False,linear,True,0.0014283449084920674,ring,2Z,True,banknote-authentication,10093,0.8827038884162903,0.9525011897087097
16,1,sqiswap,False,linear,True,0.0016292554872979089,ring,mZ,True,phoneme,9952,0.7066991865634918,0.737009459733963
16,1,sqiswap,False,linear,True,0.0038441001260321617,pairs,mZ,False,banknote-authentication,10093,0.8090659022331238,0.8431332230567932
16,1,sqiswap,False,linear,True,0.008273740266111546,ring,mZ,False,banknote-authentication,10093,0.8127049684524537,0.8477761507034302
16,1,sqiswap,False,linear,True,0.012636636777228247,ring,2Z,False,blood-transfusion-service-center,10101,0.7620540499687195,0.7428935885429382
16,1,sqiswap,False,linear,True,0.014525246503150003,ring,2Z,False,ilpd,9971,0.7135593116283416,0.7133002042770386
16,1,sqiswap,False,linear,True,0.015445889121953136,pairs,mZ,True,ilpd,9971,0.7135593116283416,0.6252320885658265
16,1,sqiswap,False,linear,True,0.03246455073442567,pairs,2Z,False,breast-w,15,0.9542235851287841,0.9859303116798401
16,1,sqiswap,False,linear,True,0.09115693440357049,pairs,mZ,True,blood-transfusion-service-center,10101,0.7659819781780243,0.6458720445632935
16,1,sqiswap,False,linear,True,0.11180066001440125,full,2Z,False,diabetes,37,0.7317327439785004,0.8048447430133819
16,1,sqiswap,False,linear,True,0.2450060731763399,pairs,2Z,True,ilpd,9971,0.7152542293071746,0.7197896361351013
16,1,sqiswap,False,linear,True,0.42776087620370556,full,2Z,True,blood-transfusion-service-center,10101,0.7660540521144867,0.7290161609649658
16,1,sqiswap,False,tanh,False,0.00010696529384572835,pairs,2Z,True,blood-transfusion-service-center,10101,0.7566306233406067,0.6240912765264511
16,1,sqiswap,False,tanh,False,0.0017360874489352593,full,mZ,False,banknote-authentication,10093,0.8163228631019592,0.8916753828525543
16,1,sqiswap,False,tanh,False,0.0017866779542113334,pairs,mZ,True,wilt,146820,0.943997585773468,0.7296732485294342
16,1,sqiswap,False,tanh,False,0.002651367275803957,pairs,mZ,False,ilpd,9971,0.7135593116283416,0.5211623340845108
16,1,sqiswap,False,tanh,False,0.003397301774380168,ring,2Z,False,breast-w,15,0.8697722375392913,0.968047297000885
16,1,sqiswap,False,tanh,False,0.004187342389574171,pairs,mZ,True,diabetes,37,0.6679938495159149,0.6569999992847443
16,1,sqiswap,False,tanh,False,0.019036788026722453,ring,2Z,True,phoneme,9952,0.7213192224502564,0.7295577466487885
16,1,sqiswap,False,tanh,False,0.02805591860142139,ring,2Z,True,wilt,146820,0.94999058842659,0.8362752616405487
16,1,sqiswap,False,tanh,False,0.09812003563347221,full,mZ,False,banknote-authentication,10093,0.819988363981247,0.892782348394394
16,1,sqiswap,False,tanh,False,0.3493065531703628,pairs,2Z,False,breast-w,15,0.8883643805980682,0.9543825030326843
16,1,sqiswap,False,tanh,True,0.00010233651120086429,ring,mZ,False,diabetes,37,0.6510594606399536,0.6835797727108002
16,1,sqiswap,False,tanh,True,0.0005245988300728594,ring,mZ,False,banknote-authentication,10093,0.8163651764392853,0.9358603835105896
16,1,sqiswap,False,tanh,True,0.0007461697751417534,pairs,mZ,False,breast-w,15,0.7910352051258087,0.969629991054535
16,1,sqiswap,False,tanh,True,0.0009934654375342183,full,2Z,False,blood-transfusion-service-center,10101,0.7620540499687195,0.7256392538547516
16,1,sqiswap,False,tanh,True,0.0013629580474281656,full,mZ,True,ilpd,9971,0.7135593116283416,0.6087269246578216
16,1,sqiswap,False,tanh,True,0.0016839700170123574,pairs,mZ,True,wilt,146820,0.9460632801055908,0.8470155775547028
16,1,sqiswap,False,tanh,True,0.0019419380358167955,ring,mZ,False,banknote-authentication,10093,0.8892520904541016,0.9702326834201813
16,1,sqiswap,False,tanh,True,0.002474384266274356,pairs,mZ,False,wilt,146820,0.9464769184589386,0.8911251425743103
16,1,sqiswap,False,tanh,True,0.003407039447356004,pairs,2Z,True,blood-transfusion-service-center,10101,0.7634054005146027,0.7546955525875092
16,1,sqiswap,False,tanh,True,0.004740298569747512,full,mZ,True,diabetes,37,0.7486500322818757,0.8014529824256897
16,1,sqiswap,False,tanh,True,0.004860098241626472,full,mZ,False,banknote-authentication,10093,0.9147625148296357,0.9786652445793151
16,1,sqiswap,False,tanh,True,0.006246201825307281,ring,mZ,False,wilt,146820,0.9551550388336182,0.9309629499912262
16,1,sqiswap,False,tanh,True,0.007291841348734423,pairs,mZ,False,blood-transfusion-service-center,10101,0.7821081101894378,0.7386624276638031
16,1,sqiswap,False,tanh,True,0.011865273020670546,pairs,2Z,False,phoneme,9952,0.7664718925952911,0.8106565833091736
16,1,sqiswap,False,tanh,True,0.2164755558595963,ring,mZ,False,breast-w,15,0.9498964786529541,0.9809055030345917
16,1,sqiswap,False,tanh,True,0.2930840927831422,pairs,mZ,False,ilpd,9971,0.7169783651828766,0.702654230594635
16,1,sqiswap,False,tanh,True,0.41596144018916414,ring,mZ,True,ilpd,9971,0.7170075893402099,0.6712794423103332
